student_id,course_id,timestamp,activity_type,duration_minutes,video_id,completion_pct,score
CR-1001,COURSE-005,09/15/2024 06:07 PM,forum_post,0.8,,,
CR-1001,COURSE-005,11/14/2024 06:23 PM,video_watch,18.4,VID-024,0.66,
CR-1001,COURSE-010,03/07/2025 12:32 PM,video_watch,14.9,VID-044,0.8,
CR-1001,COURSE-003,09/15/2024 09:46 PM,reading,,,,
CR-1001,COURSE-007,01/09/2025 12:50 PM,reading,3.7,,,
CR-1001,COURSE-002,01/10/2025 04:59 PM,video_watch,9.7,VID-026,0.85,
CR-1001,COURSE-001,02/22/2025 10:13 AM,quiz_attempt,6.0,,,53.0
CR-1001,COURSE-002,12/15/2024 11:53 AM,quiz_attempt,29.8,,,88.4
CR-1001,COURSE-008,03/09/2025 11:13 AM,reading,16.9,,,
CR-1001,COURSE-002,03/09/2025 03:20 PM,quiz_attempt,15.5,,,78.9
CR-1001,COURSE-001,04/25/2025 04:28 PM,assignment_submit,0.3,,,
CR-1001,COURSE-008,01/07/2025 07:07 PM,quiz_attempt,0.3,,,73.3
CR-1001,COURSE-001,01/14/2025 10:34 AM,video_watch,18.6,VID-042,0.7,
CR-1001,COURSE-008,10/18/2024 02:22 PM,video_watch,21.9,VID-044,0.76,
CR-1001,COURSE-007,09/01/2024 12:25 PM,forum_post,7.4,,,
CR-1001,COURSE-010,01/15/2025 10:14 PM,quiz_attempt,0.5,,,50.7
CR-1001,COURSE-007,04/10/2025 12:22 PM,quiz_attempt,10.6,,,87.6
CR-1001,COURSE-007,10/06/2024 08:31 PM,forum_post,1.7,,,
CR-1001,COURSE-009,11/05/2024 05:44 PM,video_watch,2.2,VID-028,0.6,
CR-1001,COURSE-001,12/01/2024 04:38 PM,reading,6.4,,,
CR-1001,COURSE-009,12/30/2024 11:12 AM,assignment_submit,7.3,,,
CR-1001,COURSE-001,02/02/2025 04:36 PM,video_watch,2.6,VID-044,0.76,
CR-1001,COURSE-004,11/01/2024 08:57 AM,quiz_attempt,5.7,,,88.3
CR-1001,COURSE-001,03/03/2025 08:58 AM,video_watch,75.1,VID-028,0.75,
CR-1001,COURSE-006,02/19/2025 05:31 PM,video_watch,5.5,VID-004,0.9,
CR-1001,COURSE-001,12/07/2024 01:21 PM,quiz_attempt,3.3,,,62.0
CR-1001,COURSE-004,03/27/2025 08:02 PM,quiz_attempt,7.9,,,82.8
CR-1001,COURSE-009,01/26/2025 02:51 PM,reading,23.5,,,
CR-1001,COURSE-009,11/21/2024 03:00 PM,quiz_attempt,2.4,,,57.7
CR-1001,COURSE-007,04/10/2025 05:34 PM,reading,21.6,,,
CR-1001,COURSE-001,10/30/2024 08:01 AM,reading,2.0,,,
CR-1001,COURSE-009,10/07/2024 06:54 PM,reading,6.5,,,
CR-1001,COURSE-008,03/27/2025 10:19 AM,forum_post,2.6,,,
CR-1001,COURSE-008,12/25/2024 06:48 PM,reading,30.8,,,
CR-1001,COURSE-003,04/15/2025 09:24 PM,assignment_submit,72.7,,,
CR-1001,COURSE-006,12/19/2024 09:01 AM,video_watch,11.9,VID-041,0.59,
CR-1001,COURSE-003,01/06/2025 08:47 AM,forum_post,5.1,,,
CR-1001,COURSE-003,02/05/2025 01:37 PM,video_watch,44.5,VID-027,0.67,
CR-1001,COURSE-003,10/31/2024 10:03 AM,reading,29.3,,,
CR-1001,COURSE-005,02/19/2025 07:29 PM,video_watch,43.0,VID-041,0.67,
CR-1001,COURSE-007,12/25/2024 10:20 PM,reading,6.3,,,
CR-1001,COURSE-006,09/18/2024 04:41 PM,quiz_attempt,23.8,,,58.7
CR-1001,COURSE-010,11/25/2024 02:01 PM,assignment_submit,42.0,,,
CR-1001,COURSE-006,02/08/2025 04:42 PM,forum_post,2.2,,,
CR-1001,COURSE-009,09/26/2024 10:49 AM,video_watch,18.9,VID-007,0.67,
CR-1001,COURSE-002,03/23/2025 10:22 AM,forum_post,0.5,,,
CR-1001,COURSE-010,11/25/2024 10:24 AM,assignment_submit,15.6,,,
CR-1001,COURSE-001,10/28/2024 05:21 PM,video_watch,0.8,VID-006,0.98,
CR-1001,COURSE-004,12/17/2024 12:38 PM,video_watch,36.9,VID-032,0.47,
CR-1001,COURSE-003,01/02/2025 05:29 PM,reading,31.7,,,
CR-1001,COURSE-010,12/01/2024 05:54 PM,video_watch,0.5,VID-023,0.83,
CR-1001,COURSE-009,12/05/2024 09:53 PM,quiz_attempt,21.6,,,74.4
CR-1001,COURSE-005,09/16/2024 08:38 PM,video_watch,18.9,VID-003,0.87,
CR-1001,COURSE-004,11/08/2024 10:48 PM,video_watch,3.9,VID-016,0.86,
CR-1001,COURSE-006,09/23/2024 05:09 PM,quiz_attempt,20.2,,,70.1
CR-1001,COURSE-005,03/05/2025 08:55 AM,assignment_submit,23.0,,,
CR-1001,COURSE-001,11/19/2024 02:01 PM,assignment_submit,40.4,,,
CR-1001,COURSE-002,11/23/2024 03:11 PM,assignment_submit,17.0,,,
CR-1001,COURSE-005,03/08/2025 10:42 AM,video_watch,19.7,VID-001,0.77,
CR-1001,COURSE-003,11/29/2024 09:33 PM,reading,6.6,,,
CR-1001,COURSE-008,12/23/2024 08:10 PM,video_watch,26.6,VID-021,0.98,
CR-1001,COURSE-001,12/08/2024 11:17 AM,assignment_submit,30.0,,,
CR-1001,COURSE-001,03/09/2025 12:11 PM,video_watch,22.8,VID-023,0.68,
CR-1001,COURSE-009,02/24/2025 11:11 AM,reading,37.6,,,
CR-1001,COURSE-004,09/28/2024 09:30 PM,quiz_attempt,17.0,,,72.3
CR-1001,COURSE-009,12/26/2024 12:34 PM,assignment_submit,16.1,,,
CR-1001,COURSE-009,10/23/2024 02:15 PM,video_watch,2.4,VID-042,0.81,
CR-1001,COURSE-007,01/23/2025 08:37 PM,reading,11.1,,,
