student_id,course_id,session_start,session_end,page_views,downloads,forum_posts
LMS-2001,COURSE-004,2025-03-18 15:58:00,2025-03-18 16:14:00,16.0,1,2
LMS-2001,COURSE-007,2024-10-26 16:32:00,2024-10-26 19:00:00,30.0,7,0
LMS-2001,COURSE-010,2025-03-20 07:15:00,2025-03-20 07:23:00,7.0,2,1
LMS-2001,COURSE-002,2024-12-13 14:57:00,2024-12-13 17:43:00,8.0,8,4
LMS-2001,COURSE-007,2024-09-11 20:29:00,2024-09-11 22:52:00,38.0,9,1
LMS-2001,COURSE-009,2025-03-09 18:08:00,2025-03-09 18:27:00,12.0,8,0
LMS-2001,COURSE-010,2024-10-17 15:17:00,2024-10-17 17:22:00,29.0,6,0
LMS-2001,COURSE-003,2025-01-19 07:36:00,2025-01-19 07:52:00,22.0,6,4
LMS-2001,COURSE-006,2025-04-17 20:57:00,2025-04-17 21:50:00,19.0,0,4
LMS-2001,COURSE-005,2024-10-17 07:20:00,2024-10-17 08:43:00,23.0,8,4
LMS-2001,COURSE-006,2025-03-12 15:54:00,2025-03-12 16:46:00,23.0,6,0
LMS-2001,COURSE-004,2024-09-14 21:46:00,2024-09-14 22:32:00,38.0,9,4
LMS-2001,COURSE-002,2025-04-06 12:55:00,2025-04-06 13:18:00,44.0,5,4
LMS-2001,COURSE-010,2024-09-23 16:45:00,2024-09-23 18:33:00,29.0,8,3
LMS-2001,COURSE-008,2024-11-28 21:16:00,2024-11-28 21:54:00,5.0,0,0
LMS-2001,COURSE-002,2025-04-19 21:24:00,2025-04-19 23:23:00,28.0,0,3
LMS-2001,COURSE-005,2024-12-17 08:34:00,2024-12-17 08:54:00,4.0,4,2
LMS-2001,COURSE-002,2025-01-01 13:50:00,2025-01-01 16:23:00,26.0,6,2
LMS-2001,COURSE-005,2025-01-18 10:44:00,2025-01-18 11:33:00,40.0,7,2
LMS-2001,COURSE-006,2024-12-27 08:42:00,2024-12-27 08:52:00,37.0,8,1
LMS-2001,COURSE-009,2025-03-11 08:32:00,2025-03-11 11:11:00,33.0,8,0
LMS-2001,COURSE-008,2024-12-26 10:47:00,2024-12-26 11:58:00,16.0,4,2
LMS-2001,COURSE-008,2025-02-14 12:08:00,2025-02-14 13:46:00,10.0,5,1
LMS-2001,COURSE-010,2025-04-21 20:54:00,2025-04-21 22:41:00,28.0,4,2
LMS-2001,COURSE-008,2024-11-10 12:29:00,2024-11-10 13:01:00,25.0,1,2
LMS-2001,COURSE-008,2024-10-31 15:44:00,2024-10-31 15:56:00,47.0,1,2
LMS-2001,COURSE-009,2025-03-14 07:27:00,2025-03-14 07:57:00,27.0,9,2
LMS-2001,COURSE-009,2024-10-29 14:23:00,2024-10-29 14:59:00,45.0,2,2
LMS-2001,COURSE-008,2025-01-04 07:44:00,2025-01-04 08:54:00,13.0,9,1
LMS-2001,COURSE-009,2024-11-27 11:00:00,2024-11-27 11:09:00,41.0,4,2
LMS-2001,COURSE-008,2025-03-23 15:56:00,2025-03-23 18:10:00,43.0,9,4
LMS-2001,COURSE-005,2024-11-26 17:46:00,2024-11-26 18:51:00,16.0,5,3
LMS-2001,COURSE-001,2024-12-24 18:23:00,2024-12-24 18:38:00,30.0,5,2
LMS-2001,COURSE-003,2024-11-24 11:37:00,2024-11-24 14:36:00,46.0,8,3
LMS-2001,COURSE-004,2025-01-06 11:14:00,2025-01-06 13:48:00,33.0,4,2
LMS-2001,COURSE-006,2024-11-08 14:52:00,2024-11-08 17:06:00,6.0,9,0
LMS-2001,COURSE-008,2024-10-28 09:56:00,2024-10-28 10:04:00,48.0,4,3
LMS-2001,COURSE-008,2025-01-25 08:44:00,2025-01-25 09:37:00,10.0,4,2
LMS-2001,COURSE-004,2025-03-10 08:10:00,2025-03-10 08:23:00,47.0,5,1
LMS-2001,COURSE-010,2024-10-31 12:00:00,2024-10-31 12:33:00,20.0,4,1
LMS-2001,COURSE-001,2024-11-09 21:59:00,2024-11-09 23:19:00,48.0,3,2
